Generators installed in 2020 by major energy source,,,,,,,,,,,,,,
Steam turbine,"1,210","2,194,453","1,677",137,"1,814",240,46,181,7,3,10,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Solar PV generators installed in 2020 by Census region,,,,,,,,,,,,,,
Census Region,Average Construction Cost ($/kilowatt of installed nameplate capacity),Total Construction Cost (thousand $),Total Capacity (MW),,,Average New Capacity (MW),,,Number of Plants,,,Number of Generators,,
,,,At New Plants,At Existing Plants,Total,At New Plants,At Existing Plants,Total,At New Plants,At Existing Plants,Total,At New Plants,At Existing Plants,Total
South,"1,494","9,865,930","6,544",61,"6,605",41,30,41,158,2,160,163,2,165
West,"1,788","4,871,052","2,687",36,"2,724",25,9,25,107,4,111,112,4,116
Midwest,"2,055","1,131,544",544,7,550,3,1,3,169,5,174,173,5,178
Northeast,"2,576","1,342,152",518,3,521,5,1,4,113,3,116,118,3,121
,,,,,,,,,,,,,,
Solar PV generators installed in 2020 by top five states in capacity additions,,,,,,,,,,,,,,
State,Average Construction Cost ($/kilowatt of installed nameplate capacity),Total Construction Cost (thousand $),Total Capacity (MW),,,Average New Capacity (MW),,,Number of Plants,,,Number of Generators,,
,,,At New Plants,At Existing Plants,Total,At New Plants,At Existing Plants,Total,At New Plants,At Existing Plants,Total,At New Plants,At Existing Plants,Total
TX,"1,264","3,126,951","2,473",0,"2,473",155,0,155,16,0,16,17,0,17
CA,"1,810","3,008,219","1,660",2,"1,662",37,1,35,45,2,47,48,2,50
FL,"1,252","2,052,268","1,640",0,"1,640",75,0,75,22,0,22,22,0,22
GA,"1,850","1,310,708",651,58,709,27,58,28,24,1,25,24,1,25
VA,"1,707","1,118,483",655,0,655,47,0,47,14,0,14,18,0,18
,,,,,,,,,,,,,,
Solar PV generators installed in 2020 by PV panel type and tracking system,,,,,,,,,,,,,,
PV Panel Material and Tracking System,Average Construction Cost ($/kilowatt of installed nameplate capacity),Total Construction Cost (thousand $),Total Capacity (MW),,,Average New Capacity (MW),,,Number of Plants,,,Number of Generators,,
,,,At New Plants,At Existing Plants,Total,At New Plants,At Existing Plants,Total,At New Plants,At Existing Plants,Total,At New Plants,At Existing Plants,Total
"Crystalline silicon, fixed tilt","1,957","2,408,370","1,226",5,"1,231",6,1,6,210,5,215,221,5,226
"Crystalline silicon, axis-based tracking","1,587","10,064,710","6,333",7,"6,340",25,1,24,255,5,260,262,5,267
"Thin-film CdTe, fixed tilt","1,684","504,584",300,0,300,19,0,19,16,0,16,16,0,16
"Thin-film CdTe, axis-based tracking","1,631","3,519,031","2,067",90,"2,157",53,45,53,39,2,41,40,2,42
Other,"1,914","713,983",368,5,373,14,2,13,27,2,29,27,2,29
,,,,,,,,,,,,,,
Solar PV generators installed in 2020 by total capacity added at plant,,,,,,,,,,,,,,
Total Added Capacity at Plant,Average Construction Cost ($/kilowatt of installed nameplate capacity),Total Construction Cost (thousand $),Total Capacity (MW),,,Average New Capacity (MW),,,Number of Plants,,,Number of Generators,,
,,,"At New
Plants",At Existing Plants,Total,"At New
Plants",At Existing Plants,Total,"At New
Plants",At Existing Plants,Total,"At New
Plants",At Existing Plants,Total
1-5 MW,"2,577","2,311,466",880,17,897,2,1,2,397,12,409,408,12,420
5-10 MW,"2,390","672,808",282,0,282,9,0,9,33,0,33,34,0,34
10-100 MW,"1,668","8,219,764","4,838",90,"4,928",52,45,52,93,2,95,97,2,99
100-400 MW,"1,399","6,006,640","4,294",0,"4,294",179,0,179,24,0,24,27,0,27
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
